UF;Município;ID;num_processo;Vinculada;Termo/N_Convênio;Ano_Termo/Convênio;Programa;Fonte;Esfera;Tipologia;Situação_da_Obra;perc_informado_munic;Última_Vistoria_Instituição;perc_executado_empresa;Última_Vistoria_Empresa;Empresa;Restrições;Inconformidades
MT;Nova Nazaré;1008011;2,34E+16;NÃO;7656;2013;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;0.38%;03/08/2016;0.13%;27/jul;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
MA;Apicum-Açu;1008012;2,34E+16;NÃO;22440;2014;PAR;TD;Municipal;Espaço Educativo - 04 Salas;Execução;87.19%;21/07/2016;33.70%;13/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
MT;Nova Santa Helena;1008014;2,34E+16;NÃO;9712;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;31.03%;21/07/2016;7.00%;20/out;PAULO GAIGA ENGENHARIA LTDA;NÃO;SIM
MA;Arame;1008015;2,34E+16;NÃO;22441;2014;PAR;TD;Municipal;Espaço Educativo - 06 Salas;Execução;13.08%;12/07/2016;10.09%;26/abr;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MA;Arame;1008016;2,34E+16;NÃO;22441;2014;PAR;TD;Municipal;Espaço Educativo - 01 Sala;Execução;27.46%;12/07/2016;20.44%;26/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MA;Arame;1008017;2,34E+16;NÃO;22441;2014;PAR;TD;Municipal;Espaço Educativo - 06 Salas;Execução;32.92%;12/07/2016;20.21%;26/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MT;Paranatinga;1008018;2,34E+16;NÃO;9677;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;41.07%;15/07/2016;20.53%;13/fev;PAULO GAIGA ENGENHARIA LTDA;NÃO;SIM
MA;Arari;1008020;2,34E+16;NÃO;22446;2014;PAR;TD;Municipal;Espaço Educativo - 02 Salas;Execução;33.47%;19/08/2016;13.65%;15/jul;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
ES;Colatina;1008026;2,34E+16;NÃO;8076;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;86.77%;04/08/2016;22.47%;15/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
ES;Conceição da Barra;1008031;2,34E+16;NÃO;8077;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Paralisada;43.15%;05/08/2016;37.86%;28/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;NÃO
SC;Agrolândia;1008033;2,34E+16;NÃO;8660;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR GRANDE - PROJETO FNDE;Concluída;100.00%;24/07/2015;23.21%;23/mar;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
MT;Rondonópolis;1008036;2,34E+16;NÃO;8613;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR PEQUENA - PROJETO FNDE;Concluída;92.86%;01/08/2016;81.09%;27/jan;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
SC;Agronômica;1008037;2,34E+16;NÃO;8329;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Concluída;100.00%;06/08/2015;32.27%;08/out;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
