"ID";"Nome";"Logradouro";"Município";"UF";"Percentual.de.Execução";"classificação_tb";"total_repassado";"Empresa.Contratada"
1014523;"PAC 2 - CRECHE/PRÉ-ESCOLA  003";"Avenida Nazaré";"Chaves";"PA";0,49;"atrasada";282497,488002157;"(14440545000123) FACE ENGENHARIA LTDA - EPP"
1014526;"PAC 2 - CRECHE/PRÉ-ESCOLA  005";"Travessa Pará";"Juruti";"PA";0,36;"atrasada";187242,242184506;"(08872776000103) CONSTRUTORA ANDRADE LTDA"
1014536;"ESCOLA INFANTIL - BAIRRO SANTA LUZIA ";"RUA RUI ALBUQUERQUE";"Nova Olinda do Norte";"AM";19,76;"atrasada";304746,11769495;"(04480016000108) FORRO COMPANHIA DA AMAZONIA LTDA"
1014551;"Creche Brejão";"Rua Planejada";"Brejão";"PE";10,14;"atrasada";201975,471964201;"(21627038000169) MENEZES LOCACOES CONSTRUCOES E SERVICOS E CIA LTDA - EPP"
1014552;"Três Marias";"Rua Quatro";"Carpina";"PE";0;"atrasada";265083,283270593;"(11179408000199) AMPLUSTEC COMERCIO E SERVICOS LTDA - EPP"
1014553;"PROJETO FORMOSO 33";"Praça A-Setor 33";"Bom Jesus da Lapa";"BA";0;"atrasada";NA;"(05507121000148) EUPLAN CONSTRUCOES E LOCACOES DE MAQUINAS E EQUIPAMENTOS LTDA ME"
1014554;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"Rua Projetada ";"São Vicente Ferrer";"PE";6,35;"atrasada";293367,764982151;"(02320452000186) DINIZ CONSULTORIA & CONSTRUCOES LTDA"
1014555;"Escola (Creche) do Residencial Divino Espírito Santo";"Rua: Projetada";"Trindade";"PE";18,01;"atrasada";293367,764982151;"(22328425000167) LEANDRO SAMPAIO ENGENHARIA EIRELI - EPP"
1014557;"LOTEAMENTO SÃO JUDAS";"RUA PROJETADA";"Água Branca";"PI";0;"atrasada";185046,853745619;"(01857346000173) R MELO CONSTRUCOES LTDA"
1014558;"BARREIRÃO";"Rua Arimatéia Tito";"Matias Olímpio";"PI";45,38;"atrasada";516656,850604484;"(07855369000125) RANIERI MAZZILLE RAMOS DE MENESES LTDA"
